"province","province_name","year","week_num","deaths","expected_deaths_mean","expected_deaths_low","expected_deaths_high","se","excess_deaths_mean","excess_deaths_low","excess_deaths_high"
"P0001","East Azerbaijan",1398,41,473,488.43141025641035,366.17649466400155,610.6863258488191,61.95903974203163,-15.431410256410345,106.82350533599845,-137.68632584881914
"P0001","East Azerbaijan",1398,42,423,514.6814102564094,392.42649466400036,636.9363258488185,61.95903974203174,-91.68141025640944,30.57350533599964,-213.93632584881846
"P0001","East Azerbaijan",1398,43,438,485.9314102564131,363.6764946640033,608.1863258488229,61.95903974203215,-47.93141025641307,74.32350533599669,-170.1863258488229
"P0001","East Azerbaijan",1398,44,392,477.68141025642217,355.42649466401093,599.9363258488333,61.959039742032836,-85.68141025642217,36.57350533598907,-207.93632584883335
"P0001","East Azerbaijan",1398,45,418,464.93141025641216,342.67649466400235,587.186325848822,61.95903974203215,-46.931410256412164,75.32350533599765,-169.18632584882198
"P0001","East Azerbaijan",1398,46,489,493.93141025642126,371.67649466401,616.1863258488324,61.959039742032836,-4.931410256421259,117.32350533598998,-127.18632584883244
"P0001","East Azerbaijan",1398,47,379,443.1814102564076,320.92649466399905,565.4363258488162,61.959039742031514,-64.18141025640762,58.07350533600095,-186.43632584881618
"P0001","East Azerbaijan",1398,48,436,445.68141025641216,323.42649466400263,567.9363258488218,61.95903974203203,-9.681410256412164,112.57350533599737,-131.93632584882175
"P0001","East Azerbaijan",1398,49,466,431.1814102564167,308.92649466400644,553.436325848827,61.95903974203238,34.81858974358329,157.07350533599356,-87.43632584882698
"P0001","East Azerbaijan",1398,50,447,457.431410256414,335.17649466400417,579.6863258488238,61.95903974203215,-10.431410256413983,111.82350533599583,-132.6863258488238
"P0001","East Azerbaijan",1398,51,513,442.681410256414,320.4264946640042,564.9363258488238,61.95903974203215,70.31858974358602,192.57350533599578,-51.9363258488238
"P0001","East Azerbaijan",1398,52,485,443.18141025641944,320.9264946640087,565.4363258488302,61.95903974203261,41.81858974358056,164.07350533599129,-80.43632584883017
"P0001","East Azerbaijan",1399,1,508,353.42692307698235,233.98710911484716,472.86673703911754,60.53234051327023,154.57307692301765,274.01289088515284,35.13326296088246
"P0001","East Azerbaijan",1399,2,434,433.6269230769158,314.1871091147904,553.0667370390412,60.53234051326527,0.373076923084227,119.81289088520958,-119.06673703904119
"P0001","East Azerbaijan",1399,3,561,500.8269230769156,381.3871091147896,620.2667370390416,60.53234051326556,60.17307692308441,179.6128908852104,-59.26673703904157
"P0001","East Azerbaijan",1399,4,550,420.2269230769225,300.7871091147961,539.6667370390489,60.53234051326579,129.7730769230775,249.21289088520388,10.33326296095106
"P0001","East Azerbaijan",1399,5,499,401.82692307693196,282.3871091148037,521.2667370390602,60.53234051326671,97.17307692306804,216.6128908851963,-22.266737039060217
"P0001","East Azerbaijan",1399,6,492,423.02692307694906,303.5871091148185,542.4667370390796,60.53234051326786,68.97307692305094,188.41289088518153,-50.46673703907959
